136	-10.8685	501872	-1536.26	888.22
137	-10.8917	505552	-1534.86	891.06
138	-10.8918	509239	-1533.45	893.14
139	-10.9152	512806	-1532.09	895.36
140	-10.9192	516428	-1530.71	897.76
141	-10.9192	520120	-1529.28	900.28
142	-10.9201	523870	-1527.86	902.64
143	-10.9201	527513	-1526.47	904.64
144	-10.9227	531187	-1525.06	907.18
145	-10.9289	534859	-1523.66	909.16
146	-10.9289	538487	-1522.28	911.66
147	-10.9289	542164	-1520.88	913.6
148	-10.9289	545843	-1519.47	915.88
149	-10.9362	549524	-1518.07	917.8
150	-10.9402	553288	-1516.63	920.12
151	-10.9402	557007	-1515.21	922.4
152	-10.9455	560769	-1513.78	924.5
153	-10.9728	564426	-1512.38	926.66
154	-10.9959	568200	-1510.94	928.68
155	-10.9993	571838	-1509.55	930.88
156	-10.9993	575513	-1508.15	932.44
157	-10.9993	579268	-1506.72	934.48
158	-10.9993	583009	-1505.29	936.6
159	-11.0065	586772	-1503.85	938.62
160	-11.0147	590463	-1502.45	940.28
161	-11.0433	594134	-1501.05	942.36
162	-11.0496	597848	-1499.63	944.2
163	-11.0644	601586	-1498.21	945.84
164	-11.0644	605246	-1496.81	947.62
165	-11.0644	608852	-1495.44	949.28
166	-11.0644	612552	-1494.02	951.18
167	-11.0644	616219	-1492.62	953.02
168	-11.0698	619917	-1491.22	954.88
169	-11.0698	623556	-1489.82	957.02
170	-11.093	627237	-1488.42	959.12
171	-11.093	630892	-1487.02	960.88
172	-11.1061	634528	-1485.63	962.4
173	-11.1298	638258	-1484.21	964.04
174	-11.1298	641925	-1482.81	965.66
175	-11.1338	645497	-1481.45	967.24
176	-11.1338	649181	-1480.04	969.06
177	-11.1421	652828	-1478.65	970.72
178	-11.1421	656473	-1477.26	972.4
179	-11.1421	660131	-1475.86	974.34
180	-11.1422	663895	-1474.43	976.2
181	-11.1653	667615	-1473.01	977.82
182	-11.1736	671206	-1471.64	979.68
183	-11.1736	674815	-1470.26	981.58
184	-11.1736	678486	-1468.86	983.42
185	-11.1736	682124	-1467.47	984.9
186	-11.1736	685759	-1466.07	986.38
187	-11.1736	689421	-1464.68	988.1
188	-11.1736	693071	-1463.28	989.6
189	-11.1736	696768	-1461.86	991
190	-11.1736	700427	-1460.46	992.3
191	-11.1736	704128	-1459.05	993.84
192	-11.1736	707821	-1457.65	995.38
193	-11.1736	711485	-1456.25	996.88
194	-11.1789	715150	-1454.85	998.7
195	-11.1789	718779	-1453.46	1000.3
196	-11.1789	722404	-1452.08	1002.02
197	-11.1789	726102	-1450.67	1003.52
198	-11.1789	729768	-1449.27	1005.02
199	-11.2074	733343	-1447.9	1006.6
200	-11.2074	736946	-1446.53	1008.04
201	-11.2211	740582	-1445.14	1009.36
202	-11.2306	744269	-1443.73	1010.9
203	-11.2306	748072	-1442.29	1012.42
204	-11.2306	751698	-1440.91	1013.62
