1	   0.000   0.000   1.912	50169.000
2	   0.000   0.000   3.261	1.9679000e+013
3	   0.000   0.000   2.184	1949.3000
4	   0.000   0.000   3.054	4280.1000
5	   0.000   0.000   2.329	151440.00
6	   0.000   0.000   1.406	27482.000
7	   0.000   0.000   2.841	48.310000
8	   0.000   0.000   3.099	174.45000
9	   0.000   0.000   2.479	1260.4000
10	   0.000   0.000   3.233	6118900.0
11	   0.000   0.000   2.990	181.08000
12	   0.000   0.000   2.891	1196.1000
13	   0.000   0.000   2.663	747.89000
14	   0.000   0.000   2.794	116.28000
15	   0.000   0.000   3.627	312.93000
16	   0.000   0.000   1.815	6.4131000e+011
17	   0.000   0.000   2.645	11679.000
18	   0.000   0.000   2.054	5423600.0
19	   0.000   0.000   2.881	234.85000
20	   0.000   0.000   3.250	1970.4000
21	   0.000   0.000   2.350	1.3569000e+009
22	   0.000   0.000   2.646	83.569000
23	   0.000   0.000   2.703	3856.3000
24	   0.000   0.000   2.614	28576.000
25	   0.000   0.000   2.885	11382000.
26	   0.000   0.000   3.127	191.57000
27	   0.000   0.000   2.344	329.60000
28	   0.000   0.000   1.816	8.7914000e+008
29	   0.000   0.000   2.599	406.87000
30	   0.000   0.000   3.144	181.11000
31	   0.000   0.000   2.878	23571.000
32	   0.000   0.000   3.304	28386000.
33	   0.000   0.000   2.660	35493.000
34	   0.000   0.000   1.869	1.8432000e+009
35	   0.000   0.000   3.043	4224100.0
36	   0.000   0.000   3.225	6.5165000e+010
37	   0.000   0.000   2.502	100.80000
38	   0.000   0.000   2.991	592990.00
39	   0.000   0.000   2.884	337.73000
40	   0.000   0.000   2.906	5853700.0
41	   0.000   0.000   2.205	74.443000
42	   0.000   0.000   1.739	1.8966000e+014
43	   0.000   0.000   2.865	131340.00
44	   0.000   0.000   2.231	49261000.
45	   0.000   0.000   3.167	11742.000
46	   0.000   0.000   2.333	2903.2000
47	   0.000   0.000   2.736	1578.9000
48	   0.000   0.000   3.070	79.177000
49	   0.000   0.000   3.483	5706.4000
50	   0.000   0.000   3.039	80898.000
51	   0.000   0.000   2.568	222.49000
52	   0.000   0.000   2.602	470.87000
53	   0.000   0.000   3.153	383.30000
54	   0.000   0.000   2.425	240990.00
55	   0.000   0.000   3.058	12697.000
